raw_payer	primaryPayerType	mapped_payer
BLUE CROSS BLUE SHIELD  TENNESSEE	COMMERCIAL	BCBS TENNESSEE (TN)
BLUE CROSS BLUE SHIELD ALASKA	COMMERCIAL	BLUE CROSS BLUE SHIELD
BLUE CROSS BLUE SHIELD ARIZONA	COMMERCIAL	BCBS ARIZONA (AZ)
BLUE CROSS BLUE SHIELD FLORIDA	COMMERCIAL	BCBS FLORIDA (FL)
BLUE CROSS BLUE SHIELD NC	COMMERCIAL	BCBS NORTH CAROLINA (NC)
BLUE CROSS BLUE SHIELD OF ILLINOIS (NDAS)	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
BLUE CROSS BLUE SHIELD OF LOUISIANA	OTHER	BCBS LOUISIANA (LA)
BLUE CROSS BLUE SHIELD OF MINNESOTA	COMMERCIAL	BCBS MINNESOTA (MN)
BLUE CROSS BLUE SHIELD OF WASHINGTON STATE	COMMERCIAL	BCBS/THE REGENCE GROUP (WA)
BLUE CROSS BLUE SHIELD TEXAS	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (TX)
CMX	OTHER	Other
COMMUNITY CARE OK	COMMERCIAL	Other
COMMUNITY CCRX	COMMERCIAL	Other
BLUE CROSS IDAHO	COMMERCIAL	BLUE CROSS IDAHO (ID)
CONIFER HEALTH SOLUTIONS	COMMERCIAL	Other
CONVERSION PLAN	PBM	Other
BS OF CALIFORNIA - ARGUS	PBM	BLUE SHIELD OF CALIFORNIA (CA)
CA BLUE	COMMERCIAL	BLUE SHIELD OF CALIFORNIA (CA)
CORNERSTONE	MEDICAID	Other
COSTCO HEALTH SOLUTIONS-NAVITUS	PBM	Other
COUPON PLAN	OTHER	Other
COX HEALTH PLAN	COMMERCIAL	Other
DELA	COMMERCIAL	Other
DESIGN RX	COMMERCIAL	Other
DONALD	CASH	Other
EMPLOYEE BENEFIT MGMT SERVICES	COMMERCIAL	Other
EPIPHANYRX	OTHER	Other
FAMILYCARE HEALTH PLANS	COMMERCIAL	Other
FAPBRX	OTHER	Other
FUTURES	OTHER	PBM
GENERAL U CARE	OTHER	Other
"GILSBAR, INC."	MEDICAID	Other
GLENN MARTIN	MEDICAID	Other
GOOLD	MEDICAID	MEDICAID (ME)
HEALTH ALLIANCE	COMMERCIAL	Other
HEALTH CARE SVC CORP-BCBS IL-PRIME	MEDICAID	BCBS HEALTHCARE SERVICE CORP (IL)
HEALTH CHOICE OF ARIZONA	MEDICAID	Other
HEALTHESYSTEMS	OTHER	Other
HEALTHSMART	COMMERCIAL	Other
HLTH STRATEGIC ALLIANCE AND FB	OTHER	Other
HP	OTHER	Other
IDEALCARE	COMMERCIAL	Other
IDPA RX ADJ PAYOR *RX ONLY*	OTHER	Other
IN CSOURCE MCAID	OTHER	Other
IND ANTHEM MCAID	MEDICAID	Anthem (IN)
INLAND	OTHER	Other
INPA - MM	OTHER	Other
INSIDE RX DISCOUNT CARD-EXPRESS	CASH	Other
IPM	COMMERCIAL	Other
GENERAL BCBS NORTH CAROLINA	OTHER	BCBS NORTH CAROLINA (NC)
GENERAL BCBS TENNESSEE	OTHER	BCBS TENNESSEE (TN)
IRX	OTHER	Other
GHI MCARE PRES DRG PLN EXPRESS SCRP	MEDICARE	EMBLEMHEALTH
JFS MEDICAID	OTHER	Other
JOHN HOPKINS EHP	COMMERCIAL	JOHNS HOPKINS HEALTHCARE (MD)
KEY BENEFITS	OTHER	Other
KYLE MICHLITSCH	MEDICAID	Other
MARION POLK COMMUNITY HEALTH PLAN	COMMERCIAL	Other
MEADV	OTHER	Other
MED STAR FAMILY CHOICE	COMMERCIAL	Other
HEALTH FIRST NY-CAREMARK	MEDICAID	HEALTH FIRST HEALTH PLANS
MEDBEN - NEWTECH	PBM	Other
MEDCARE	MEDICARE	Other
HEALTHFIRST NEW YORK	COMMERCIAL	HEALTH FIRST HEALTH PLANS
MEDDPRIME	COMMERCIAL	Other
MEDDPRIMEG	COMMERCIAL	Other
MEDE AMERICA	COMMERCIAL	Other
MEDICARE	GOVERNMENT	Other
MEDICARE	MEDICAID	Other
MEDICARE	COMMERCIAL	Other
MEDICARE	OTHER	Other
MEDICARE DME MAC REGION B	OTHER	Other
MEDICARE PART B	MEDICARE	Other
MEDICARE PART D ELIGIBILITY FOR A & B	MEDICARE	Other
MEDICARE RX D	MEDICARE	Other
MEDICARE RX/OPTUM RX	OTHER	Other
MEDI-RX	OTHER	Other
MEDI-RX	MEDICARE	Other
MEDMETRIC (SAME AS SXC)	PBM	Other
MEDTRAK 008126	OTHER	Other
MEGELLIN RX	COMMERCIAL	MAGELLAN
MEMBER HEALTH-CAREMARK	MEDICARE	Other
MEMORIAL HEALTH SYSTEM	OTHER	Other
MINUTE CLINIC	OTHER	Other
MM-PP	OTHER	Other
MRX COMMERCIAL STANDARD	OTHER	Other
NATIONAL BENEFIT FUND 1199	COMMERCIAL	Other
MDWISE-MEDIMPACT	MEDICAID	MDWISE (IN)
NATIONAL MEDICAL HTH CARD - SXC	PBM	Other
NATIONAL PHARMACY SERVICE	OTHER	Other
NMHC	COMMERCIAL	Other
"NOVITAS SOLUTIONS, INC."	COMMERCIAL	Other
NUCOR	OTHER	Other
OPYUMRX	OTHER	PBM
OSCAR HEALTH	OTHER	Other
PACIFCARE-D	OTHER	Other
PAMELA LASNICKI	CASH	Other
PART D	MEDICARE	Other
PART D	OTHER	Other
PBM	OTHER	PBM
MEMORIAL HERMANN HEALTH INSURANCE SOLUTIONS	OTHER	MEMORIAL HERMANN HEALTH SOLUTION
PDM	PBM	PBM
PHARMACEUTICAL CARE	OTHER	Other
"PHARMACY DATA MANAGEMENT, INC"	COMMERCIAL	Other
PHARMAVAIL-INTEGRATED RX MANAGEMENT	PBM	Other
PHOENIX BENEFITS MGMT	COMMERCIAL	Other
PHRMEDQUEST	OTHER	Other
PPO	COMMERCIAL	Other
PROCARE RX	PBM	Other
RONALD	CASH	Other
RX EMBLEM	OTHER	Other
RX OPTIONS	OTHER	Other
RX OPTIONS	MEDICARE	Other
RX PROACT	OTHER	Other
RX SAVE CARD	OTHER	Other
OPTIMA MEDICARE VALUE PLUS	MEDICARE	OPTIMA HEALTH (VA)
RX SOLN	OTHER	PBM
RX WEST / NET CARD SYSTEM	OTHER	Other
RXINITIATIVES -RXI FERRING PRG	COMMERCIAL	Other
RXRELIEF	COMMERCIAL	Other
RXWEST	PBM	Other
SCAN HEALTH PLAN	OTHER	Other
SCRIP WORLD	OTHER	Other
SCRIPTCARE	PBM	Other
SCRIPWORLD	OTHER	Other
SECURE RX	MEDICARE	Other
SECURE RX	CASH	Other
SILVER CROSS ADVOCATE BC HMO	OTHER	Other
SOUTHERN CALIFORNIA HEALTH	COMMERCIAL	Other
SOUTHERN SCRIPTS	PBM	Other
STRAIGHT MEDICAID	MEDICAID	Other
TENN	MEDICAID	Other
PREMERA BC DRUG ONLY	COMMERCIAL	PREMERA
PREMERA BC WASHINGTON & ALASKA	COMMERCIAL	PREMERA
PRIORITY PARTNERS (MARYLAND)	MEDICAID	JOHNS HOPKINS HEALTHCARE (MD)
PRO ACT	CASH	PROACT INC
PROACT	MEDICAID	PROACT INC
TRILLIUM	COMMERCIAL	Other
TRUE	OTHER	Other
UCARE-EXPRESS	MEDICAID	Medicaid (MN)
VENDOR PRIME THERAPEUTICS	OTHER	Other
WELLMONT HEALTH SYSTEM	OTHER	Other
WILLIAM OBRIEN	MEDICAID	Other
WORK RX	OTHER	Other
WORKING RX	MEDICARE	Other
PASSPORT OF KY	OTHER	PASSPORT HLH PLN/UNIV HC (KY)
WV PEIA-CVS CAREMARK	PBM	PEIA (WV)
WV PEIA	COMMERCIAL	PEIA (WV)
PREFERRED SOLUTIONS	COMMERCIAL	PREFERREDONE (MN)
PREFERREDONE	OTHER	PREFERREDONE (MN)
PROVIDENCE HEALTH PLAN	COMMERCIAL	Providence Health System
SERVE YOU	OTHER	SERVE YOU PRESC MGMT UNSPEC
SERVU IPA	COMMERCIAL	SERVE YOU PRESC MGMT UNSPEC
AHCCCS HEALTH CHOICE	COMMERCIAL	STATE MANAGED CARE (AZ)
SUMMACARE	COMMERCIAL	SUMMACARE (OH)
SUTTER HEALTH	COMMERCIAL	SUTTER HEALTH (CA)
DEPARTMENT OF DEFENSE - EXPRESS	PBM	TRICARE
UMR	OTHER	UNITED HEALTHCARE
UMR	COMMERCIAL	UNITED HEALTHCARE
UNITED	OTHER	UNITED HEALTHCARE
UNIVERA	COMMERCIAL	BCBS EXCELLUS (NY)
UHC NY ESSENTIAL PLAN PLUS	MEDICAID	UNITED HEALTHCARE
VENTEGRA	PBM	Other
UHC COMMUNITY PLAN - KANCARE	MEDICAID	UNITED HEALTHCARE
UNITEDHEALTHCARE COMMUNITY PLAN	MEDICAID	UNITED HEALTHCARE
WALMART/ EXPRESS SCRIPTS	OTHER	ESI
WELLBYNE	OTHER	WELLDYNERX
WELLDYNA RX	OTHER	WELLDYNERX
UNIVERSITY OF UT HEALTH-MERIDIANRX	PBM	UNIVERSITY OF UTAH (UT)
****DO NOT USE****UHC CHOICE PLUS POS	OTHER	UNITED HEALTHCARE
GOLDEN RULE INSURANCE	OTHER	UNITED HEALTHCARE
UHC COMMUNITY PLAN - KANCARE	GOVERNMENT	UNITED HEALTHCARE
UHC COMMUNITY PLAN - KANCARE	COMMERCIAL	UNITED HEALTHCARE
UHC OPTIMUM CHOICE HMO	OTHER	UNITED HEALTHCARE
UNITED BEHAVIORAL HEALTH	OTHER	UNITED HEALTHCARE
